checkin_id,employee_id,date,hours_logged
W001,MY001,2025-01-15,10.5
W002,MY001,2025-04-12,9.0
W003,MY001,2025-07-15,9.5
W004,MY001,2025-10-18,11.0
W005,MY002,2025-01-16,9.5
W006,MY002,2025-04-14,8.5
W007,MY002,2025-07-16,9.0
W008,MY002,2025-10-19,10.0
W009,MY003,2025-01-15,9.0
W010,MY003,2025-04-12,9.5
W011,MY003,2025-07-15,8.0
W012,MY003,2025-10-20,9.0
W013,MY004,2025-01-17,9.5
W014,MY004,2025-04-15,8.5
W015,MY004,2025-07-17,8.0
W016,MY004,2025-10-21,9.5
W017,MY005,2025-01-18,10.0
W018,MY005,2025-04-16,11.5
W019,MY005,2025-07-18,9.0
W020,MY005,2025-10-22,10.5
W021,MY006,2025-01-19,9.0
W022,MY006,2025-04-18,8.5
W023,MY006,2025-07-19,8.0
W024,MY006,2025-10-23,9.5
W025,MY007,2025-01-20,10.5
W026,MY007,2025-04-19,11.0
W027,MY007,2025-07-20,9.0
W028,MY007,2025-10-24,10.0
W029,MY008,2025-01-21,8.5
W030,MY008,2025-04-20,9.0
W031,MY008,2025-07-21,8.0
W032,MY008,2025-10-25,8.5
W033,MY009,2025-01-22,11.0
W034,MY009,2025-04-21,12.0
W035,MY009,2025-07-22,9.5
W036,MY009,2025-10-26,11.5
W037,MY010,2025-01-23,9.0
W038,MY010,2025-04-22,8.5
W039,MY010,2025-07-23,8.0
W040,MY010,2025-10-27,9.0
W041,MY011,2025-01-24,10.5
W042,MY011,2025-04-23,11.5
W043,MY011,2025-07-24,9.5
W044,MY011,2025-10-28,11.0
W045,MY012,2025-01-25,9.0
W046,MY012,2025-04-24,9.5
W047,MY012,2025-07-25,8.5
W048,MY012,2025-10-29,9.0
W049,MY013,2025-01-26,9.5
W050,MY013,2025-04-25,9.0
W051,MY013,2025-07-26,8.5
W052,MY013,2025-10-30,9.5
W053,MY014,2025-01-27,10.0
W054,MY014,2025-04-26,11.0
W055,MY014,2025-07-27,9.5
W056,MY014,2025-10-31,10.5
W057,MY015,2025-01-28,9.0
W058,MY015,2025-04-27,10.0
W059,MY015,2025-07-28,8.5
W060,MY015,2025-11-01,9.5
W061,MY016,2025-01-29,8.5
W062,MY016,2025-04-28,9.0
W063,MY016,2025-07-29,8.0
W064,MY016,2025-11-02,8.5
W065,MY017,2025-01-30,11.0
W066,MY017,2025-04-29,11.5
W067,MY017,2025-07-30,9.5
W068,MY017,2025-11-03,11.0
W069,MY018,2025-01-31,9.0
W070,MY018,2025-04-30,9.5
W071,MY018,2025-07-31,8.5
W072,MY018,2025-11-04,9.0
W073,MY019,2025-02-01,10.5
W074,MY019,2025-05-01,11.0
W075,MY019,2025-08-01,9.0
W076,MY019,2025-11-05,10.0
W077,MY020,2025-02-02,10.0
W078,MY020,2025-05-02,10.5
W079,MY020,2025-08-02,9.0
W080,MY020,2025-11-06,10.0
W081,MY021,2025-02-03,8.5
W082,MY021,2025-05-03,9.0
W083,MY021,2025-08-03,8.0
W084,MY021,2025-11-07,8.5
W085,MY022,2025-02-04,11.0
W086,MY022,2025-05-04,12.0
W087,MY022,2025-08-04,10.0
W088,MY022,2025-11-08,11.5
W089,MY023,2025-02-05,9.5
W090,MY023,2025-05-05,10.0
W091,MY023,2025-08-05,9.0
W092,MY023,2025-11-09,9.5
W093,MY024,2025-02-06,9.0
W094,MY024,2025-05-06,9.5
W095,MY024,2025-08-06,8.5
W096,MY024,2025-11-10,9.0
W097,MY025,2025-02-07,11.5
W098,MY025,2025-05-07,12.0
W099,MY025,2025-08-07,10.0
W100,MY025,2025-11-11,12.5
W101,MY026,2025-02-08,11.0
W102,MY026,2025-05-08,11.5
W103,MY026,2025-08-08,10.0
W104,MY026,2025-11-12,11.0
W105,MY027,2025-02-09,11.5
W106,MY027,2025-05-09,12.0
W107,MY027,2025-08-09,10.5
W108,MY027,2025-11-13,11.5
W109,MY028,2025-02-10,10.0
W110,MY028,2025-05-10,10.5
W111,MY028,2025-08-10,9.0
W112,MY028,2025-11-14,10.0
W113,MY029,2025-02-11,8.5
W114,MY029,2025-05-11,9.0
W115,MY029,2025-08-11,8.0
W116,MY029,2025-11-15,8.5
W117,MY030,2025-02-12,12.0
W118,MY030,2025-05-12,12.5
W119,MY030,2025-08-12,10.0
W120,MY030,2025-11-16,12.0
W121,MY031,2025-02-13,10.5
W122,MY031,2025-05-13,11.0
W123,MY031,2025-08-13,9.5
W124,MY031,2025-11-17,11.0
W125,MY032,2025-02-14,10.5
W126,MY032,2025-05-14,11.0
W127,MY032,2025-08-14,9.5
W128,MY032,2025-11-18,10.5
W129,MY033,2025-02-15,11.0
W130,MY033,2025-05-15,11.5
W131,MY033,2025-08-15,10.0
W132,MY033,2025-11-19,11.0
W133,MY034,2025-02-16,11.5
W134,MY034,2025-05-16,12.0
W135,MY034,2025-08-16,10.5
W136,MY034,2025-11-20,11.5
W137,MY035,2025-02-17,11.5
W138,MY035,2025-05-17,12.0
W139,MY035,2025-08-17,10.5
W140,MY035,2025-11-21,11.5
W141,MY036,2025-02-18,11.0
W142,MY036,2025-05-18,11.5
W143,MY036,2025-08-18,10.0
W144,MY036,2025-11-22,11.0
W145,MY037,2025-02-19,10.5
W146,MY037,2025-05-19,11.0
W147,MY037,2025-08-19,9.5
W148,MY037,2025-11-23,10.5
W149,MY038,2025-02-20,11.0
W150,MY038,2025-05-20,11.5
W151,MY038,2025-08-20,10.0
W152,MY038,2025-11-24,11.0
W153,MY039,2025-02-21,11.5
W154,MY039,2025-05-21,12.0
W155,MY039,2025-08-21,10.5
W156,MY039,2025-11-25,12.0
W157,MY040,2025-02-22,8.5
W158,MY040,2025-05-22,9.0
W159,MY040,2025-08-22,8.0
W160,MY040,2025-11-26,8.5
W161,MY041,2025-02-23,8.0
W162,MY041,2025-05-23,8.5
W163,MY041,2025-08-23,8.0
W164,MY041,2025-11-27,8.0
W165,MY042,2025-02-24,9.0
W166,MY042,2025-05-24,9.5
W167,MY042,2025-08-24,8.5
W168,MY042,2025-11-28,9.0
