Snapshot_Date,EmployeeID,Division,Season_Label,Monthly_Stress_Score,Workload_Volume, Column E AND f CAN CALCUALATE USING LLMS
01/01/2025,EMP1000,HR,CNY / Year End,3.53,47,
01/02/2025,EMP1000,HR,CNY / Year End,3.47,50,
01/03/2025,EMP1000,HR,Ramadan / Raya,4.89,50,
01/04/2025,EMP1000,HR,Ramadan / Raya,3.06,56,
01/05/2025,EMP1000,HR,Normal Operations,2.92,58,
01/06/2025,EMP1000,HR,Normal Operations,2.5,50,
01/07/2025,EMP1000,HR,Normal Operations,3.21,56,
01/08/2025,EMP1000,HR,Normal Operations,3.04,51,
01/09/2025,EMP1000,HR,Normal Operations,2.93,50,
01/10/2025,EMP1000,HR,Normal Operations,3.26,49,
01/11/2025,EMP1000,HR,11.11 Mega Sale,4.22,57,
01/12/2025,EMP1000,HR,Year End Closing,3.95,49,
01/01/2025,EMP1001,Sales,CNY / Year End,3.41,50,
01/02/2025,EMP1001,Sales,CNY / Year End,2,52,
01/03/2025,EMP1001,Sales,Ramadan / Raya,3.75,58,
01/04/2025,EMP1001,Sales,Ramadan / Raya,4.47,52,
01/05/2025,EMP1001,Sales,Normal Operations,2.48,46,
01/06/2025,EMP1001,Sales,Normal Operations,3.26,56,
01/07/2025,EMP1001,Sales,Normal Operations,3.01,57,
01/08/2025,EMP1001,Sales,Normal Operations,2.95,47,
01/09/2025,EMP1001,Sales,Normal Operations,2.54,46,
01/10/2025,EMP1001,Sales,Normal Operations,2.59,51,
01/11/2025,EMP1001,Sales,11.11 Mega Sale,3.37,65,
01/12/2025,EMP1001,Sales,Year End Closing,4.93,47,
01/01/2025,EMP1002,Digital,CNY / Year End,4,45,
01/02/2025,EMP1002,Digital,CNY / Year End,2.92,50,
01/03/2025,EMP1002,Digital,Ramadan / Raya,3.34,55,
01/04/2025,EMP1002,Digital,Ramadan / Raya,2.9,53,
01/05/2025,EMP1002,Digital,Normal Operations,2.83,46,
01/06/2025,EMP1002,Digital,Normal Operations,3.29,50,
01/07/2025,EMP1002,Digital,Normal Operations,2.77,59,
01/08/2025,EMP1002,Digital,Normal Operations,3.33,48,
01/09/2025,EMP1002,Digital,Normal Operations,2.63,58,
01/10/2025,EMP1002,Digital,Normal Operations,3.88,53,
01/11/2025,EMP1002,Digital,11.11 Mega Sale,2.92,65,
01/12/2025,EMP1002,Digital,Year End Closing,3.86,52,
01/01/2025,EMP1003,Operations,CNY / Year End,4.22,45,
01/02/2025,EMP1003,Operations,CNY / Year End,3.72,48,
01/03/2025,EMP1003,Operations,Ramadan / Raya,3.31,51,
01/04/2025,EMP1003,Operations,Ramadan / Raya,3.09,57,
